team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type,cf_direction_deg,wind_effect,wind_score
ARI,59.9,3.9,13,6,retractable,0,out,0
ATL,71.5,2.0,27,35,open,135,cross,0
BAL,70.6,5.5,325,52,open,30,cross,0
BOS,48.1,2.2,114,100,open,45,cross,0
CHC,70.8,12.3,151,63,open,45,cross,0
CHW,60.4,10.5,218,92,open,135,cross,0
CIN,68.4,4.8,158,42,open,100,cross,0
CLE,56.2,3.2,135,85,open,0,in,0
COL,29.1,3.5,345,46,open,0,out,0
DET,49.9,8.4,115,91,open,135,out,1
HOU,70.9,8.5,174,88,retractable,330,in,-1
KC,49.5,15.8,348,75,open,45,cross,0
LAA,56.2,2.9,129,72,open,45,cross,0
LAD,55.3,4.7,109,70,open,30,cross,0
MIA,73.4,2.0,96,87,retractable,100,out,0
MIL,59.0,8.9,214,86,retractable,135,cross,0
MIN,33.1,14.3,319,68,open,90,cross,0
NYM,78.1,8.5,2,38,open,5,out,1
NYY,59.5,6.0,129,77,open,90,out,0
OAK,52.5,3.8,135,67,open,45,cross,0
PHI,67.9,8.3,85,81,open,5,cross,0
PIT,62.2,2.7,90,63,open,100,out,0
SD,56.1,3.7,107,93,open,0,cross,0
SF,53.3,7.0,276,70,open,90,in,0
SEA,44.8,0.7,18,84,retractable,45,out,0
STL,63.9,9.2,296,86,open,45,cross,0
TB,67.9,5.1,304,88,dome,45,cross,0
TEX,71.9,12.8,202,76,retractable,135,cross,0
TOR,45.3,7.5,67,100,retractable,0,cross,0
WSH,69.5,5.9,47,58,open,40,out,0
